filename,date,subject,spac_freq,drift vel,grat_gap,eccentricity,type_vernier,stim1_contrast,stim1_RGB_min,stim1_RGB_max,stim2_contrast,stim2_RGB_min,stim2_RGB_max,stim1_reversals,stim2_reversals
mj gratvernier 92.txt,3/21/2011,mj,0.4,2,1,0,InPhase,100,"[0, 0, 0]","[700, 210, 0]",100,"[0, 0, 0]","[700, 210, 0]","[5.3153, 8.4375, 4.218, 13.393, 8.4375, 10.63, 3.3484, 8.4375, 6.6969, 8.4375, 6.6969, 16.875]","[3.3484, 5.3153, 3.3484, 5.3153, 4.218, 8.4375, 5.3153, 6.6969, 1.6742, 3.3484, 2.6576, 3.3484]"
mj gratvernier 102.txt,3/24/2011,mj,0.4,2,0,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[53.574, 85.044, 21.261, 26.787, 13.393, 16.875, 13.393, 42.522, 33.75, 42.522, 33.75, 53.574]","[21.261, 53.574, 42.522, 53.574, 42.522, 67.5, 53.574, 67.5, 53.574, 67.5, 42.522, 53.574]"
mj gratvernier 81.txt,3/17/2011,mj,0.4,2,0,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[21.261, 85.044, 42.522, 53.574, 33.75, 42.522, 21.261, 53.574, 13.393, 21.261, 16.875, 21.261]","[33.75, 85.044, 53.574, 67.5, 42.522, 67.5, 53.574, 67.5, 53.574, 67.5, 26.787, 33.75]"
mj gratvernier 76.txt,3/16/2011,mj,0.4,2,2,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[13.393, 33.75, 21.261, 26.787, 16.875, 21.261, 13.393, 16.875, 10.63, 26.787, 13.393, 21.261]","[33.75, 53.574, 21.261, 26.787, 16.875, 21.261, 13.393, 21.261, 10.63, 13.393, 8.4375, 13.393]"
mj gratvernier 94.txt,3/21/2011,mj,0.4,2,0,0,OutOfPhase,100,"[0, 0, 0]","[700, 210, 0]",100,"[0, 0, 0]","[700, 210, 0]","[13.393, 33.75, 21.261, 53.574, 13.393, 16.875, 13.393, 16.875, 10.63, 16.875, 13.393, 16.875]","[21.261, 33.75, 21.261, 26.787, 16.875, 33.75, 26.787, 33.75, 26.787, 33.75, 26.787, 42.522]"
mj gratvernier 65.txt,3/15/2011,mj,0.4,2,0.2,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[13.393, 21.261, 13.393, 16.875, 8.4375, 10.63, 8.4375, 10.63, 8.4375, 10.63, 3.3484, 4.218]","[8.4375, 21.261, 13.393, 16.875, 6.6969, 8.4375, 6.6969, 10.63, 8.4375, 10.63, 6.6969, 8.4375]"
mj gratvernier 88.txt,3/17/2011,mj,0.4,2,0.1,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[53.574, 85.044, 42.522, 67.5, 53.574, 67.5, 42.522, 53.574, 26.787, 42.522, 33.75, 53.574]","[13.393, 21.261, 16.875, 21.261, 16.875, 21.261, 10.63, 16.875, 13.393, 16.875, 10.63, 13.393]"
mj gratvernier 103.txt,3/24/2011,mj,0.4,2,0.5,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[8.4375, 21.261, 13.393, 16.875, 13.393, 26.787, 13.393, 16.875, 8.4375, 10.63, 4.218, 5.3153]","[33.75, 53.574, 26.787, 33.75, 26.787, 33.75, 21.261, 26.787, 21.261, 26.787, 21.261, 26.787]"
mj gratvernier 68.txt,3/15/2011,mj,0.4,2,0.2,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[13.393, 21.261, 16.875, 21.261, 8.4375, 10.63, 8.4375, 16.875, 4.218, 8.4375, 5.3153, 6.6969]","[13.393, 21.261, 10.63, 16.875, 6.6969, 8.4375, 6.6969, 10.63, 1.6742, 2.109, 1.6742, 2.6576]"
mj gratvernier 63.txt,3/15/2011,mj,0.4,2,2,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[13.393, 21.261, 13.393, 26.787, 21.261, 33.75, 13.393, 21.261, 16.875, 21.261, 13.393, 21.261]","[13.393, 21.261, 16.875, 21.261, 13.393, 21.261, 16.875, 21.261, 16.875, 33.75, 16.875, 21.261]"
