file_name,observer_name,type_grating,spatial_frequency,contrast_level,rgb_min,rgb_max,scase1_reversals,scase2_reversals
re SCSF 157.txt,re,Compound,0.251,100.0,"[0, 0, 0]","[1000, 152, 0]","[1.5848, 3.1622, 0.79432, 1.5848, 1.122, 1.5848, 1.122, 2.2387, 0.79432, 1.122, 0.79432, 1.122]","[0.3981, 0.79432, 0.56234, 1.122, 0.79432, 1.5848, 0.3981, 0.56234, 0.28183, 1.122, 0.79432, 1.5848]"
kh SCSF 82.txt,kh,Compound,0.0398,100.0,"[0, 0, 0]","[705, 200, 0]","[0.3981, 0.79432, 0.56234, 0.79432, 0.56234, 2.2387, 0.56234, 1.122, 0.79432, 1.122, 0.79432, 1.122]","[0.3981, 0.79432, 0.56234, 0.79432, 0.3981, 1.5848, 0.56234, 1.122, 0.56234, 0.79432, 0.3981, 1.122]"
kh SCSF 90.txt,kh,Compound,0.251,100.0,"[0, 0, 0]","[705, 200, 0]","[0.3981, 0.79432, 0.56234, 0.79432, 0.3981, 0.56234, 0.3981, 0.79432, 0.3981, 0.56234, 0.28183, 0.3981]","[0.3981, 0.79432, 0.28183, 0.3981, 0.28183, 0.3981, 0.28183, 0.56234, 0.28183, 0.3981, 0.19952, 0.28183]"
re SCSF 67.txt,re,Compound,1.585,100.0,"[0, 0, 0]","[705, 107, 0]","[0.79432, 1.5848, 1.122, 2.2387, 1.5848, 3.1622, 1.5848, 2.2387, 1.5848, 3.1622, 0.79432, 4.4668]","[3.1622, 6.3095, 1.122, 2.2387, 1.5848, 3.1622, 1.122, 1.5848, 0.56234, 1.122, 0.79432, 1.122]"
re SCSF 88.txt,re,Compound,0.158,100.0,"[0, 0, 0]","[705, 107, 0]","[0.19952, 0.3981, 0.28183, 0.56234, 0.3981, 0.56234, 0.3981, 0.56234, 0.3981, 0.56234, 0.14125, 0.56234]","[0.79432, 1.5848, 0.3981, 0.56234, 0.28183, 0.3981, 0.19952, 0.56234, 0.28183, 0.56234, 0.3981, 0.56234]"
mj SCSF 76.txt,mj,Luminance,1.585,100.0,"[0, 0, 0]","[700, 211, 0]","[12.589, 50.118, 35.481, 70.794, 35.481, 10.0, 35.481, 50.118, 25.118, 35.481, 17.782, 50.118]","[12.589, 25.118, 17.782, 50.118, 35.481, 70.794, 35.481, 70.794, 35.481, 70.794, 50.118, 70.794]"
re SCSF 37.txt,re,Luminance,0.251,100.0,"[0, 0, 0]","[705, 107, 0]","[0.3981, 0.79432, 0.56234, 2.2387, 0.79432, 1.5848, 0.79432, 1.5848, 0.56234, 0.79432, 0.56234, 1.5848]","[0.0, 0.19952, 0.0, 0.19952, 0.14125, 1.5848, 0.79432, 1.122, 0.56234, 1.122, 0.79432, 2.2387]"
re SCSF 136.txt,re,Compound,0.158,100.0,"[0, 0, 0]","[1000, 152, 0]","[0.79432, 1.5848, 0.28183, 0.79432, 0.3981, 0.79432, 0.56234, 0.79432, 0.56234, 0.79432, 0.56234, 0.79432]","[0.3981, 0.79432, 0.28183, 0.3981, 0.28183, 0.79432, 0.56234, 0.79432, 0.56234, 0.79432, 0.28183, 0.79432]"
re SCSF 184.txt,re,Compound,0.631,100.0,"[0, 0, 0]","[1000, 152, 0]","[1.5848, 3.1622, 2.2387, 3.1622, 2.2387, 3.1622, 2.2387, 3.1622, 2.2387, 4.4668, 1.5848, 2.2387]","[6.3095, 12.589, 6.3095, 8.9125, 4.4668, 8.9125, 1.5848, 4.4668, 3.1622, 4.4668, 2.2387, 3.1622]"
kh SCSF 10.txt,kh,Equiluminance,1.585,100.0,"[0, 0]","[705, 0, 0]","[50.118, 12.589, 25.118, 12.589, 17.782, 12.589, 17.782, 8.9125, 12.589, 6.3095, 12.589, 6.3095]","[50.118, 12.589, 25.118, 8.9125, 17.782, 8.9125, 12.589, 8.9125, 17.782, 8.9125, 17.782, 12.589]"
kh SCSF 66.txt,kh,Equiluminance,1.0,100.0,"[0, 0]","[705, 0, 0]","[3.1622, 12.589, 4.4668, 6.3095, 4.4668, 6.3095, 4.4668, 6.3095, 4.4668, 6.3095, 4.4668, 8.9125]","[50.118, 3.1622, 6.3095, 4.4668, 6.3095, 4.4668, 8.9125, 3.1622, 4.4668, 3.1622, 4.4668, 3.1622]"
mj SCSF 37.txt,mj,Compound,0.1,100.0,"[0, 0, 0]","[700, 211, 0]","[0.3981, 0.79432, 0.56234, 0.79432, 0.56234, 0.79432, 0.3981, 0.79432, 0.3981, 1.122, 0.79432, 1.122]","[50.118, 0.3981, 0.79432, 0.56234, 0.79432, 0.56234, 0.79432, 0.28183, 0.79432, 0.56234, 1.122, 0.79432]"
mj SCSF 13.txt,mj,Luminance,0.0631,100.0,"[0, 0, 0]","[700, 211, 0]","[3.1622, 6.3095, 4.4668, 6.3095, 4.4668, 6.3095, 4.4668, 6.3095, 4.4668, 6.3095, 3.1622, 6.3095]","[3.1622, 6.3095, 4.4668, 6.3095, 4.4668, 6.3095, 3.1622, 4.4668, 1.122, 6.3095, 3.1622, 6.3095]"
mj SCSF 84.txt,mj,Compound,1.0,100.0,"[0, 0, 0]","[700, 211, 0]","[12.589, 25.118, 4.4668, 8.9125, 6.3095, 8.9125, 4.4668, 6.3095, 4.4668, 8.9125, 4.4668, 8.9125]","[3.1622, 25.118, 6.3095, 25.118, 3.1622, 12.589, 6.3095, 8.9125, 3.1622, 6.3095, 3.1622, 8.9125]"
